;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
1   Ene.;;0;0;0;0;0;;0;0;;1;;0;3;7;;0;;0;2;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;2;18;1;;
2   Ene.;;0;0;1;0;0;;0;0;;0;;0;3;2;;0;;0;3;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;1;12;0;;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;8;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;2;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;9;1;;0;;0;2;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;3;15;0;;
6   Ene.;;0;0;1;0;0;;0;0;;0;;0;2;0;;0;;0;2;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;1;8;0;;
7   Ene.;;0;0;2;0;0;;0;0;;1;;0;4;15;;0;;1;1;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;27;0;;
8   Ene.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;2;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;6;0;;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;2;4;;0;;0;2;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;9;0;;
10 Ene.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;2;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;7;0;;
11 Ene.;;0;0;2;0;0;;0;0;;0;;0;14;1;;0;;0;2;0;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;5;26;1;;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;0;;
13 Ene.;;0;0;2;0;0;;0;0;;0;;0;2;4;;0;;0;1;2;;0;;;0;0;0;;0;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;0;3;16;0;;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;3;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;6;0;;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
17 Ene.;;0;0;1;0;0;;0;0;;0;;0;5;0;;0;;0;1;0;;0;;;0;0;0;;1;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;1;11;0;;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;2;0;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;1;12;0;;
19 Ene.;;0;0;1;0;0;;0;0;;0;;0;6;2;;0;;0;2;1;;0;;;0;1;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;2;16;0;;
20 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;4;0;;
21 Ene.;;0;0;1;0;0;;0;0;;0;;0;6;17;;0;;0;1;1;;0;;;0;0;0;;1;0;;6;0;0;0;0;0;0;0;0;;0;0;;0;0;2;35;0;;
22 Ene.;;0;0;1;0;0;;0;0;;0;;0;11;6;;0;;0;0;1;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;21;0;;
23 Ene.;;0;0;2;0;0;;0;0;;0;;0;5;17;;0;;0;0;2;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;4;34;0;;
24 Ene.;;0;0;26;0;0;;0;0;;0;;0;48;138;;0;;0;0;13;;0;;;0;0;0;;1;0;;65;0;0;1;0;0;0;0;0;;0;0;;0;0;6;298;0;;
25 Ene.;;0;0;7;0;0;;0;0;;0;;0;26;26;;0;;0;2;2;;0;;;0;0;0;;1;0;;26;0;0;2;0;0;0;0;1;;0;0;;0;0;1;94;0;;
26 Ene.;;0;0;12;0;0;;0;0;;0;;0;34;29;;0;;0;0;6;;0;;;0;1;0;;0;0;;77;0;0;1;0;0;0;0;0;;0;0;;0;0;1;161;0;;
27 Ene.;;0;0;12;0;0;;0;0;;0;;0;19;19;;0;;0;2;6;;0;;;0;0;0;;0;0;;33;0;0;3;0;0;0;0;0;;0;0;;0;0;3;97;1;;
28 Ene.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
