Bilbao;;(medias diarias);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;0;0;0;;0;0;;1;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;5;7;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;15;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;4;7;;0;;0;3;1;;0;;;0;1;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;17;0;
4   Ene.;;0;0;0;0;0;;0;0;;1;;0;25;13;;0;;0;1;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;42;0;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;26;2;;0;;0;2;2;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;1;34;0;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;4;0;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
11 Ene.;;0;0;0;0;0;;0;0;;1;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
12 Ene.;;0;0;1;0;0;;0;0;;0;;0;17;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;20;0;
13 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;19;6;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;26;0;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
18 Ene.;;0;0;1;0;0;;0;0;;0;;0;11;0;;0;;0;2;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;16;0;
19 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
20 Ene.;;0;0;1;0;0;;0;0;;0;;0;42;3;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;49;0;
21 Ene.;;0;0;4;0;0;;0;0;;0;;0;19;2;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;1;29;0;
22 Ene.;;0;0;2;0;0;;0;0;;0;;0;13;1;;0;;0;2;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;20;0;
23 Ene.;;0;0;1;0;0;;0;0;;0;;0;16;7;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;1;28;0;
24 Ene.;;0;0;7;0;0;;0;0;;0;;0;18;13;;0;;1;1;3;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;44;0;
25 Ene.;;0;0;1;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;5;0;
26 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
27 Ene.;;0;0;1;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;5;0;
28 Ene.;;0;0;4;0;0;;0;0;;0;;0;8;1;;0;;0;0;0;;0;;;0;0;1;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;15;0;
29 Ene.;;0;0;0;0;0;;0;0;;0;;0;6;1;;0;;0;1;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;
30 Ene.;;0;0;1;0;0;;0;0;;0;;0;1;0;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;2;0;0;0;0;;0;0;;0;0;0;7;0;
31 Ene.;;0;0;5;0;0;;0;0;;0;;0;8;0;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;15;0;
