;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
1   Ene.;;0;0;1;0;0;;0;0;;0;;0;2;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;2;9;0;;
2   Ene.;;0;0;2;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;2;;
3   Ene.;;0;0;1;0;0;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
5   Ene.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;1;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;;
6   Ene.;;0;0;2;0;0;;0;0;;0;;0;10;1;;0;;0;0;1;;0;;;0;0;0;;1;1;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;17;1;;
7   Ene.;;0;0;2;0;0;;0;0;;0;;0;8;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;12;0;;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
9   Ene.;;0;0;4;0;0;;0;0;;0;;0;16;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;22;0;;
10 Ene.;;0;0;4;0;0;;0;0;;0;;0;3;1;;0;;0;0;0;;0;;;0;0;0;;0;1;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;10;1;;
11 Ene.;;0;0;1;0;0;;0;0;;0;;0;3;1;;0;;0;1;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;1;;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;1;;
13 Ene.;;0;0;4;0;0;;0;0;;0;;0;8;0;;0;;0;1;1;;0;;;0;0;0;;1;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;0;0;17;0;;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
17 Ene.;;0;0;2;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;1;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;7;0;;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;0;;
19 Ene.;;0;0;1;0;0;;0;0;;0;;0;4;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;7;0;;
20 Ene.;;0;0;4;0;0;;0;0;;0;;0;4;0;;0;;0;1;1;;0;;;0;0;0;;1;0;;3;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;;
21 Ene.;;0;0;7;0;0;;0;0;;0;;0;13;13;;0;;0;0;1;;0;;;0;0;0;;1;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;1;40;2;;
22 Ene.;;0;0;7;0;0;;0;0;;0;;0;6;7;;0;;0;0;1;;0;;;0;0;1;;1;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;2;29;1;;
23 Ene.;;0;0;8;0;0;;0;0;;0;;0;16;9;;0;;0;0;0;;0;;;0;1;0;;0;0;;9;0;0;1;0;0;0;0;1;;0;0;;0;0;0;45;0;;
24 Ene.;;0;0;38;0;0;;0;0;;0;;0;34;199;;0;;0;1;2;;0;;;0;0;0;;1;0;;36;0;0;1;0;2;0;0;0;;0;0;;0;0;3;317;1;;
25 Ene.;;0;0;14;0;0;;0;0;;0;;0;22;15;;0;;0;0;2;;0;;;0;0;0;;1;0;;5;0;0;0;0;1;0;0;0;;0;0;;0;0;2;62;1;;
26 Ene.;;0;0;13;0;0;;0;0;;0;;0;23;23;;0;;0;0;0;;0;;;0;0;0;;1;0;;14;0;0;0;0;1;0;0;0;;0;0;;0;0;1;76;0;;
27 Ene.;;0;0;29;0;0;;0;0;;0;;0;41;19;;0;;0;0;3;;0;;;0;2;1;;1;0;;28;0;0;1;1;2;0;0;2;;0;0;;0;0;1;131;0;;
28 Ene.;;0;0;7;0;0;;0;0;;0;;0;5;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;6;0;0;0;0;0;0;0;0;;0;0;;0;0;1;22;1;;
29 Ene.;;0;0;1;0;0;;0;0;;0;;0;4;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;0;;0;0;;0;0;0;10;0;;
30 Ene.;;0;0;38;0;0;;0;0;;0;;0;38;4;;0;;0;2;1;;0;;;0;0;0;;1;0;;48;0;0;1;0;2;0;0;0;;0;0;;0;0;0;135;0;;
31 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
1    Feb.;;0;0;1;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;4;0;;
2   Feb.;;0;0;1;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;1;0;0;0;;0;0;;0;0;0;7;0;;
3   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
4   Feb.;;0;0;38;0;0;;0;0;;0;;0;20;1;;0;;0;0;1;;0;;;0;1;0;;0;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;0;62;0;;
