DONOSTIA;
2023;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-ene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
11 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
13 Ene.;;0;0;0;0;0;;0;0;;0;;0;3;6;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;11;1;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;3;0;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
16 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;10;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11;0;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;2;0;
19 Ene.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
20 Ene.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;2;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;6;0;
21 Ene.;;0;0;1;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;1;
22 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
23 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
24 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;3;0;
25 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;2;0;
