Vitoria;;(medias diarias);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
1   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;13;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;18;0;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;28;30;;1;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;62;0;
4   Ene.;;0;0;0;1;0;;0;0;;0;;0;24;20;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;47;1;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;1;
8   Ene.;;0;0;0;1;0;;0;0;;0;;0;5;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;9;0;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;3;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;1;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;7;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;9;0;
11 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;6;1;
13 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
15 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
16 Ene.;;0;0;1;0;0;;0;0;;0;;0;28;49;;0;;0;0;3;;0;;;0;1;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;83;0;
17 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;43;;0;;0;1;3;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;50;0;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;4;;0;;0;0;3;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;14;1;
19 Ene.;;0;0;0;0;0;;0;0;;0;;0;3;7;;0;;0;0;2;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;14;0;
20 Ene.;;0;0;1;0;0;;0;0;;0;;0;24;24;;0;;0;1;2;;0;;;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;54;0;
21 Ene.;;0;0;0;0;0;;0;0;;0;;0;10;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13;0;
22 Ene.;;0;0;0;0;0;;0;0;;0;;0;11;56;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;69;1;
23 Ene.;;0;0;1;0;0;;0;0;;0;;0;3;9;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;16;1;
24 Ene.;;0;0;0;0;0;;0;0;;0;;0;18;46;;0;;0;0;5;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;69;0;
25 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;0;2;0;0;0;0;;0;0;;0;0;0;8;0;
26 Ene.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;
27 Ene.;;0;0;1;0;0;;0;0;;0;;0;5;14;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;22;0;
28 Ene.;;0;0;1;0;0;;0;0;;0;;0;3;1;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
29 Ene.;;0;0;4;0;0;;0;0;;0;;0;22;3;;0;;0;0;1;;0;;;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;31;0;
30 Ene.;;0;0;0;0;0;;0;0;;0;;0;7;4;;0;;0;0;0;;0;;;0;1;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;13;1;
31 Ene.;;0;0;5;0;0;;0;0;;0;;0;22;5;;0;;0;0;4;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;38;0;
1    Feb.;;0;0;1;0;0;;0;0;;0;;0;1;5;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8;0;
2   Feb.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;4;0;
3   Feb.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
4   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
5   Feb.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
6   Feb.;;0;0;1;0;0;;0;0;;0;;0;1;11;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;16;1;
7   Feb.;;0;0;0;0;0;;0;0;;0;;0;1;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
8   Feb.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
9   Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
10 Feb.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;
11 Feb.;;0;0;5;0;0;;0;0;;0;;0;1;5;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;13;0;
12 Feb.;;0;0;2;0;0;;0;0;;0;;0;0;5;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;
13 Feb.;;0;0;2;0;0;;0;0;;0;;0;4;3;;0;;0;0;3;;0;;;0;0;0;;3;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;16;0;
14 Feb.;;0;0;10;0;0;;0;0;;0;;0;6;17;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;36;0;
15 Feb.;;0;0;5;0;0;;0;0;;0;;0;12;72;;0;;0;0;5;;0;;;0;0;0;;0;0;;0;0;0;2;0;0;0;0;0;;0;0;;2;0;0;98;0;
16 Feb.;;0;0;38;0;0;;0;0;;0;;0;30;171;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;7;0;0;249;0;
17 Feb.;;0;0;8;0;0;;0;0;;0;;0;2;102;;0;;0;1;1;;0;;;0;0;0;;1;0;;5;0;0;0;0;0;0;0;1;;0;0;;2;0;0;123;0;
18 Feb.;;0;0;3;0;0;;0;0;;0;;0;0;2;;0;;0;0;3;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;1;0;0;10;0;
19 Feb.;;0;0;3;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;7;0;
20 Feb.;;0;0;14;0;0;;0;0;;0;;0;1;12;;0;;0;1;1;;0;;;0;0;0;;1;0;;3;0;0;0;0;0;0;0;0;;0;0;;2;0;0;35;0;
21 Feb.;;0;0;44;0;0;;0;0;;0;;0;1;3;;0;;0;0;3;;0;;;0;0;0;;0;0;;48;0;0;0;1;0;0;0;0;;0;0;;3;0;0;103;0;
22 Feb.;;0;0;34;0;0;;0;0;;0;;0;8;16;;0;;0;1;2;;0;;;0;0;0;;1;0;;47;0;0;0;2;0;0;0;2;;0;0;;4;0;0;117;0;
23 Feb.;;0;0;16;0;0;;0;0;;0;;0;3;7;;0;;0;0;3;;0;;;0;0;0;;1;0;;5;0;0;0;1;0;0;0;0;;0;0;;4;0;0;40;0;
24 Feb.;;0;0;68;0;0;;0;0;;0;;0;10;4;;0;;0;0;1;;0;;;0;0;0;;1;0;;36;0;0;0;0;0;0;0;4;;0;0;;2;0;0;126;1;
25 Feb.;;0;0;7;0;0;;0;0;;0;;0;2;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;11;1;
26 Feb.;;0;0;68;0;0;;0;0;;0;;0;12;28;;0;;0;0;6;;0;;;0;0;0;;1;0;;38;0;0;0;0;0;0;0;2;;0;0;;1;0;0;156;3;
27 Feb.;;0;0;45;0;0;;0;0;;0;;0;9;3;;0;;0;0;3;;0;;;0;0;0;;0;0;;99;0;0;0;0;0;0;0;0;;0;0;;0;0;0;159;0;
28 Feb.;;0;0;1;0;0;;0;0;;0;;0;5;2;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;1;0;0;0;0;;0;0;;1;0;0;13;0;
1 Mar.;;0;0;12;0;0;;0;0;;0;;0;6;26;;0;;0;1;2;;0;;;0;1;0;;1;0;;8;0;0;0;5;0;0;0;0;;0;0;;1;0;1;64;1;
2 Mar.;;0;0;4;0;0;;0;0;;0;;0;6;57;;0;;0;0;1;;0;;;0;0;0;;0;0;;3;0;0;0;9;0;0;0;0;;0;0;;1;0;0;81;1;
3 Mar.;;0;0;9;0;0;;0;0;;0;;0;5;167;;0;;0;0;2;;0;;;0;0;0;;0;0;;1;0;0;1;13;0;0;0;0;;0;0;;0;0;0;198;0;
4 Mar.;;0;0;13;0;0;;0;0;;0;;0;9;956;;0;;0;0;4;;0;;;0;0;0;;0;0;;0;0;0;0;7;0;0;0;0;;0;0;;1;0;1;991;0;
5 Mar.;;0;0;5;0;0;;0;0;;0;;0;2;85;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;95;0;
6 Mar.;;0;0;4;0;0;;0;0;;0;;0;7;112;;0;;0;0;2;;0;;;0;0;0;;0;0;;3;0;0;0;6;0;0;0;0;;0;0;;1;0;0;135;0;
7 Mar.;;0;0;3;0;0;;0;0;;0;;0;5;43;;0;;0;0;7;;0;;;0;0;0;;0;0;;2;0;0;1;24;0;0;0;0;;0;0;;1;0;4;90;0;
8 Mar.;;0;0;4;0;0;;0;0;;0;;0;16;1.105;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;20;0;0;0;0;;0;0;;1;0;6;1.155;1;
9 Mar.;;0;0;30;0;0;;0;0;;0;;0;21;1.235;;0;;0;0;9;;0;;;0;0;0;;1;0;;1;0;0;0;350;0;0;0;0;;0;0;;5;0;1;1.653;1;
10 Mar.;;0;0;2;0;0;;0;0;;0;;0;3;167;;0;;0;0;9;;0;;;0;0;0;;1;0;;0;0;1;0;307;0;0;0;0;;0;0;;1;0;1;492;0;
11 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;18;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;18;0;0;0;0;;0;0;;1;0;0;42;0;
12 Mar.;;1;0;7;0;0;;0;0;;0;;0;2;6;;0;;0;0;28;;0;;;0;0;0;;1;0;;8;0;0;0;30;0;0;0;3;;0;0;;1;0;0;87;0;
13 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;16;;0;;0;0;12;;0;;;0;0;0;;0;0;;1;0;0;6;40;0;0;0;0;;0;0;;0;0;0;77;0;
14 Mar.;;1;0;0;0;0;;0;0;;0;;0;2;70;;0;;0;0;27;;0;;;0;0;0;;3;0;;3;0;0;0;48;0;0;0;3;;0;0;;0;0;1;158;0;
15 Mar.;;1;0;0;0;0;;0;0;;0;;0;1;24;;0;;0;0;6;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;1;;0;0;;0;0;0;34;0;
16 Mar.;;1;0;0;0;0;;0;0;;0;;0;1;10;;0;;0;0;15;;0;;;0;0;0;;2;0;;0;0;0;1;2;0;0;0;1;;0;0;;1;0;0;34;0;
17 Mar.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;0;7;;0;;;0;0;0;;0;0;;1;0;0;0;4;0;0;0;4;;0;0;;1;0;0;21;0;
18 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;7;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;9;0;
19 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;3;;0;;0;0;5;;0;;;0;0;0;;1;0;;5;0;0;0;0;0;0;0;3;;0;0;;0;0;0;18;0;
20 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;3;;0;;0;0;13;;0;;;0;0;0;;1;0;;9;0;0;0;1;0;0;0;1;;0;0;;0;0;0;29;0;
21 Mar.;;0;0;9;0;1;;0;0;;0;;0;3;3;;0;;0;1;22;;0;;;0;0;0;;1;0;;24;0;0;0;5;0;0;0;0;;0;0;;0;0;0;69;1;
22 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;1;16;;0;;;0;0;0;;2;0;;5;0;0;0;2;0;0;0;3;;0;0;;1;0;1;33;0;
23 Mar.;;1;0;0;0;0;;0;0;;0;;0;0;7;;0;;0;0;9;;0;;;0;0;0;;1;0;;1;0;0;1;3;0;0;0;4;;0;0;;1;0;0;28;0;
24 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;49;;0;;0;0;10;;0;;;0;0;0;;1;0;;0;0;0;0;1;0;0;0;1;;0;0;;0;0;0;62;0;
25 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;5;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;
26 Mar.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;7;;0;;;0;0;0;;0;0;;0;0;0;1;0;0;0;0;1;;0;0;;0;0;1;11;0;
27 Mar.;;1;0;3;0;0;;0;0;;0;;0;2;14;;0;;0;5;67;;0;;;0;0;0;;2;0;;20;0;3;0;6;0;0;0;4;;0;0;;0;0;1;128;0;
28 Mar.;;0;0;1;0;1;;0;0;;0;;0;3;275;;0;;0;0;34;;0;;;0;0;0;;2;0;;26;0;0;1;0;0;0;0;20;;0;0;;0;0;1;364;0;
29 Mar.;;0;0;0;0;2;;0;0;;0;;0;0;38;;0;;0;0;15;;0;;;0;0;0;;1;0;;1;0;0;10;5;0;0;0;1;;0;0;;0;0;1;74;0;
30 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;0;1;3;0;0;0;2;;0;0;;0;0;0;13;0;
31 Mar.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;6;;0;;;0;0;0;;1;0;;4;0;0;1;5;0;0;0;0;;0;0;;0;0;0;18;0;
1  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;11;;0;;;0;0;0;;1;0;;0;0;0;0;21;0;0;0;3;;0;0;;0;0;3;42;0;
2  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;8;;0;;;0;0;0;;0;0;;0;0;0;0;9;0;0;0;2;;0;0;;0;0;3;25;0;
3  Abr.;;5;0;1;0;4;;0;0;;0;;0;1;29;;0;;0;0;9;;0;;;0;0;0;;2;0;;0;1;1;3;98;0;0;0;1;;0;0;;1;0;4;160;0;
4  Abr.;;3;0;0;0;5;;0;0;;0;;0;0;9;;0;;0;0;7;;0;;;0;0;0;;2;0;;1;0;1;0;21;0;0;0;1;;0;0;;0;0;1;51;1;
5  Abr.;;1;0;1;0;11;;0;0;;0;;0;0;9;;1;;0;0;32;;0;;;0;1;0;;14;0;;0;0;6;3;56;1;0;0;10;;0;0;;0;0;5;151;1;
6  Abr.;;2;0;0;0;33;;0;0;;0;;0;0;149;;1;;0;0;25;;0;;;0;1;0;;28;0;;1;0;10;2;44;0;0;0;16;;0;0;;1;0;9;322;1;
7  Abr.;;0;0;0;0;1;;1;0;;0;;0;0;39;;0;;0;0;10;;0;;;0;0;0;;1;0;;0;0;1;1;7;0;0;0;0;;0;0;;0;0;1;62;0;
8  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;6;;0;;;0;0;0;;1;0;;1;0;1;0;4;1;0;1;1;;0;0;;0;0;0;19;0;
9  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;3;0;5;0;0;0;1;;0;0;;0;0;0;11;0;
10 Abri.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;
11 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;0;5;0;
12 Abri.;;1;0;0;0;7;;0;0;;0;;0;0;1;;0;;0;0;11;;0;;;0;3;0;;1;0;;0;0;7;1;17;0;0;0;0;;0;0;;0;0;0;49;0;
13 Abri.;;0;0;0;0;9;;0;0;;0;;0;0;2;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;14;0;3;1;0;0;1;;0;0;;0;0;0;32;0;
14 Abri.;;1;0;0;0;20;;0;0;;0;;0;0;3;;0;;0;0;4;;0;;;0;0;0;;6;0;;1;0;112;1;22;0;0;0;2;;0;0;;0;0;1;173;0;
15 Abri.;;0;0;0;0;14;;0;0;;0;;0;0;14;;0;;1;0;3;;0;;;0;0;0;;1;0;;0;0;80;1;5;0;0;0;1;;0;0;;0;0;1;121;0;
16 Abri.;;1;0;0;0;14;;1;0;;0;;0;0;9;;0;;0;0;2;;0;;;0;0;0;;0;0;;3;0;32;3;30;0;0;0;2;;0;0;;0;0;0;97;0;
17 Abri.;;1;0;1;0;26;;0;0;;0;;0;0;5;;0;;0;0;11;;0;;;0;0;0;;13;0;;3;0;475;6;23;1;0;1;3;;0;0;;0;0;7;576;1;
18 Abri.;;1;0;0;0;115;;1;0;;0;;0;0;74;;1;;0;0;36;;1;;;0;1;0;;58;0;;33;0;929;4;18;3;0;0;2;;0;0;;0;0;9;1.286;2;
19 Abri.;;1;0;0;0;92;;0;0;;0;;0;0;12;;0;;0;0;18;;0;;;0;1;0;;26;0;;15;0;728;5;5;3;0;0;3;;0;0;;0;0;13;922;2;
20 Abri.;;0;0;0;0;68;;1;0;;0;;0;0;34;;1;;0;0;4;;0;;;0;0;0;;17;0;;43;1;260;3;5;1;0;0;2;;0;0;;0;0;12;452;3;
21 Abri.;;0;0;0;0;57;;1;0;;0;;0;0;27;;2;;0;1;7;;0;;;0;0;0;;13;0;;16;1;192;2;8;5;0;0;0;;0;0;;1;0;3;336;4;
22 Abri.;;0;0;0;0;5;;0;0;;0;;0;0;8;;0;;0;0;1;;0;;;0;0;0;;4;0;;1;0;97;0;1;2;0;0;0;;0;0;;0;0;3;122;1;
23 Abri.;;0;1;0;0;22;;2;0;;0;;0;0;94;;0;;0;0;3;;0;;;0;0;0;;11;0;;7;5;81;3;5;21;0;1;1;;0;0;;0;0;4;261;1;
24 Abri.;;0;3;0;0;78;;1;0;;0;;1;0;52;;0;;0;0;1;;5;;;0;0;0;;30;0;;5;1;78;7;0;23;0;0;2;;0;0;;0;0;3;290;1;
25 Abri.;;0;5;0;0;7;;0;0;;0;;1;0;37;;0;;0;0;1;;1;;;0;0;0;;1;0;;1;0;44;0;1;8;0;0;0;;0;0;;0;0;1;108;1;
26 Abri.;;0;2;0;0;14;;0;0;;0;;0;0;7;;0;;0;0;1;;1;;;0;0;0;;3;0;;5;0;39;2;0;30;0;1;5;;1;0;;0;0;1;112;0;
27 Abri.;;0;16;0;0;41;;0;0;;0;;0;0;11;;0;;1;1;1;;1;;;0;0;0;;3;0;;7;5;63;2;0;37;0;0;1;;0;0;;0;0;3;193;0;
28 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;3;4;3;0;32;0;1;0;;0;0;;0;0;1;50;0;
29 Abri.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;1;7;0;0;2;0;0;0;;0;0;;0;0;0;11;0;
30 Abri.;;1;5;1;0;1;;1;0;;0;;0;0;1;;0;;0;0;1;;1;;;0;0;0;;3;0;;0;0;45;1;1;6;0;0;0;;0;0;;0;0;0;68;0;
1  May.;;0;1;0;0;2;;1;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;1;7;1;1;14;0;1;1;;0;0;;0;0;2;36;0;
2  May.;;0;7;0;0;1;;0;0;;0;;0;0;9;;0;;0;0;0;;1;;;0;0;0;;3;0;;1;1;15;1;0;12;0;0;1;;0;0;;0;0;1;53;0;
3  May.;;0;9;0;0;0;;0;0;;0;;0;0;16;;0;;0;0;0;;0;;;0;0;0;;5;0;;1;0;19;0;0;5;0;0;1;;0;0;;0;0;1;57;1;
4  May.;;0;3;0;0;3;;0;0;;0;;1;0;4;;0;;1;1;1;;0;;;0;0;0;;5;0;;3;0;9;5;0;14;0;1;0;;0;0;;0;0;1;52;0;
5  May.;;0;1;0;0;1;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;5;0;;2;0;7;7;0;32;0;2;0;;0;0;;0;0;2;62;1;
6  May.;;0;0;0;0;2;;0;0;;0;;0;0;5;;0;;0;0;0;;0;;;0;0;0;;4;0;;1;1;2;3;0;7;0;1;0;;0;0;;0;0;1;27;1;
7  May.;;0;3;0;0;6;;1;0;;0;;1;0;41;;0;;1;2;0;;1;;;0;0;0;;7;1;;4;7;19;17;0;90;0;3;1;;0;0;;0;0;2;207;1;
8  May.;;0;2;0;0;1;;0;0;;0;;0;0;11;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;1;17;1;0;7;0;0;0;;0;0;;0;0;0;41;0;
9  May.;;1;3;0;0;0;;0;0;;0;;0;0;5;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;1;14;3;0;10;0;0;0;;0;0;;0;0;1;39;0;
10 May.;;0;8;0;0;1;;0;0;;0;;0;0;19;;0;;1;1;1;;1;;;0;0;0;;3;0;;1;1;21;3;0;26;0;0;0;;0;0;;0;0;2;89;1;
11 May.;;0;3;0;0;15;;1;0;;0;;1;0;18;;0;;5;1;0;;2;;;0;0;0;;2;1;;5;3;17;22;0;99;0;5;1;;0;0;;0;0;1;202;1;
12 May.;;1;5;0;0;2;;1;0;;0;;0;0;10;;0;;1;1;0;;0;;;0;0;0;;1;0;;2;2;7;3;1;29;0;0;1;;0;0;;0;0;0;67;0;
13 May.;;4;2;0;0;1;;0;0;;0;;0;0;12;;0;;0;0;0;;0;;;0;0;0;;2;1;;5;1;18;0;0;22;0;0;0;;0;0;;0;0;1;69;0;
14 May.;;0;1;0;0;1;;1;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;8;2;0;8;0;0;0;;0;0;;0;0;1;27;0;
15 May.;;0;1;0;0;1;;0;0;;0;;0;0;2;;0;;0;1;0;;0;;;0;0;0;;3;0;;1;1;13;0;1;11;0;1;0;;0;0;;0;0;1;37;0;
16 May.;;0;1;0;0;0;;0;0;;0;;0;0;8;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;3;9;0;5;0;0;0;;0;0;;0;0;5;32;0;
17 May.;;0;2;0;0;1;;1;0;;0;;0;0;7;;0;;0;0;0;;0;;;0;0;0;;2;0;;5;0;11;6;0;18;0;3;0;;0;0;;0;0;6;62;0;
18 May.;;0;1;0;0;0;;0;0;;0;;0;0;22;;1;;0;1;0;;0;;;0;0;0;;3;0;;5;3;8;14;0;55;0;3;0;;0;0;;0;0;5;121;1;
19 May.;;1;3;0;0;1;;0;0;;0;;1;0;30;;0;;1;0;0;;1;;;0;0;0;;4;0;;3;5;7;51;0;55;0;2;0;;0;0;;0;0;7;172;1;
