VITORIA;
2020;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae;TOTAL;Alternaria;
30 Dic.;;0;0;0;0;0;;0;0;;0;;0;0;3;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
31 Dic.;;0;0;0;0;0;;0;0;;0;;0;0;2;;1;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;0;5;0;
1   Ene.;;0;0;0;0;0;;0;0;;0;;1;1;3;;1;;0;0;0;;0;;;0;1;0;;3;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;11;0;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;4;;1;;0;0;1;;0;;;0;1;0;;2;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;11;1;
3   Ene.;;0;0;0;0;0;;0;0;;1;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;24;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;25;0;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;
6   Ene.;;0;0;1;0;0;;0;0;;0;;0;4;3;;0;;1;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;12;0;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;1;2;;1;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;1;0;1;0;0;0;;0;0;;0;0;1;9;1;
8   Ene.;;0;0;0;0;0;;0;0;;0;;0;28;16;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;44;0;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;22;21;;0;;0;1;1;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;47;0;
10 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;1;
11 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;1;
12 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;0;
13 Ene.;;0;0;7;0;0;;0;0;;0;;0;11;0;;0;;0;0;1;;0;;;0;0;0;;3;0;;0;0;1;0;0;0;0;0;0;;0;0;;0;0;0;23;0;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;14;5;;0;;0;0;4;;0;;;0;0;0;;1;0;;0;0;0;1;0;0;0;0;0;;0;0;;0;0;0;25;0;
15 Ene.;;0;0;1;0;0;;0;0;;0;;0;5;4;;0;;0;0;6;;0;;;0;1;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;17;1;
16 Ene.;;0;0;3;0;0;;0;0;;0;;0;33;110;;0;;0;0;7;;0;;;0;0;0;;2;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;156;1;
17 Ene.;;0;0;3;0;0;;0;0;;0;;0;10;13;;0;;0;1;5;;0;;;0;0;0;;0;0;;6;0;0;0;0;1;0;0;0;;0;0;;0;0;0;39;1;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;8;;0;;0;0;3;;0;;;0;0;0;;0;0;;1;0;0;0;0;1;0;0;0;;0;0;;0;0;0;18;0;
19 Ene.;;0;0;1;0;0;;0;0;;0;;1;6;5;;0;;0;0;1;;0;;;0;0;0;;0;0;;3;0;0;0;0;0;0;0;0;;0;0;;0;0;0;17;1;
20 Ene.;;0;0;0;0;0;;0;0;;0;;0;5;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;2;0;0;0;0;0;;0;0;;0;0;0;9;0;
21 Ene.;;0;0;7;0;0;;0;0;;0;;0;7;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;3;0;0;0;0;0;;0;0;;0;0;1;21;0;
22 Ene.;;0;0;1;0;0;;0;0;;0;;0;2;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;7;0;
23 Ene.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;4;2;
24 Ene.;;0;0;0;0;0;;0;0;;0;;0;3;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;
25 Ene.;;0;0;0;0;0;;0;0;;0;;0;2;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;
26 Ene.;;0;0;10;0;0;;0;0;;0;;0;9;7;;0;;0;0;2;;0;;;0;0;0;;0;0;;1;0;0;1;0;0;0;0;0;;0;0;;0;0;0;30;0;
27 Ene.;;0;0;2;0;0;;0;0;;0;;0;13;66;;0;;0;0;2;;0;;;0;0;0;;2;0;;0;0;0;1;0;1;0;0;0;;0;0;;0;0;0;87;0;
28 Ene.;;0;0;28;0;0;;0;0;;0;;0;41;60;;0;;0;1;9;;0;;;0;0;0;;1;0;;38;0;0;1;0;1;0;0;2;;0;0;;0;0;0;182;0;
29 Ene.;;0;0;3;0;0;;0;0;;0;;0;20;60;;0;;0;0;0;;0;;;0;0;0;;1;0;;5;0;0;1;0;0;0;0;0;;0;0;;0;0;1;91;0;
30 Ene.;;0;0;9;0;0;;0;0;;0;;0;18;40;;0;;0;0;5;;0;;;0;0;0;;0;0;;1;0;0;2;0;0;0;0;0;;0;0;;0;0;7;82;0;
31 Ene.;;0;0;3;0;0;;0;0;;0;;0;24;37;;0;;0;0;3;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;1;0;0;68;0;
1    Feb.;;0;0;19;0;0;;0;0;;1;;0;31;37;;0;;0;0;11;;0;;;0;0;0;;1;0;;0;0;0;6;0;0;0;0;0;;0;0;;7;0;0;113;1;
2   Feb.;;1;0;16;0;0;;0;0;;0;;0;28;9;;0;;0;0;11;;0;;;0;1;0;;2;0;;0;0;0;5;0;0;0;0;0;;0;0;;8;0;3;84;0;
3   Feb.;;0;0;65;0;0;;0;0;;0;;0;71;55;;0;;0;0;16;;0;;;0;0;0;;0;0;;7;0;0;3;0;0;0;0;0;;0;0;;15;0;2;234;0;
4   Feb.;;0;0;20;0;0;;0;0;;0;;0;7;95;;0;;0;0;6;;0;;;0;0;0;;0;0;;15;0;0;0;0;0;0;0;0;;0;0;;3;0;0;146;1;
5   Feb.;;0;0;57;0;0;;0;0;;0;;0;20;6;;0;;0;0;13;;0;;;0;0;0;;0;0;;17;0;0;0;2;0;0;0;1;;0;0;;1;0;0;117;1;
6   Feb.;;0;0;15;0;0;;0;0;;0;;0;10;7;;0;;0;0;5;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;1;40;3;
7   Feb.;;0;0;5;0;0;;0;0;;0;;0;9;16;;0;;0;0;5;;0;;;0;0;0;;2;0;;3;0;0;3;1;0;0;0;0;;0;0;;1;0;2;47;1;
8   Feb.;;0;0;3;0;0;;0;0;;0;;0;3;4;;0;;0;0;3;;0;;;0;0;0;;0;0;;2;0;0;4;0;0;0;0;0;;0;0;;1;0;1;21;1;
9   Feb.;;0;0;9;0;0;;0;0;;0;;0;7;16;;0;;0;0;14;;0;;;0;0;0;;0;0;;3;0;0;10;4;0;0;0;1;;0;0;;3;0;0;67;0;
10 Feb.;;0;0;24;0;0;;0;0;;0;;0;29;136;;0;;0;0;26;;0;;;0;0;0;;2;0;;20;0;0;6;3;0;0;0;0;;0;0;;3;0;1;250;0;
11 Feb.;;0;0;9;0;0;;0;0;;0;;0;0;76;;0;;0;0;11;;0;;;0;0;0;;1;0;;1;0;0;0;1;0;0;0;0;;0;0;;2;0;0;101;0;
12 Feb.;;0;0;4;0;0;;0;0;;0;;0;11;18;;0;;0;0;30;;0;;;0;0;0;;1;0;;0;0;0;1;17;0;0;0;0;;0;0;;1;0;2;85;1;
13 Feb.;;0;0;65;0;0;;0;0;;0;;0;37;238;;0;;0;1;35;;0;;;0;0;0;;1;0;;10;0;0;2;19;0;0;1;4;;0;0;;4;0;1;418;2;
14 Feb.;;0;0;146;0;0;;0;0;;0;;0;25;82;;0;;0;0;86;;0;;;0;0;0;;2;0;;38;0;0;3;19;0;0;0;5;;0;0;;4;0;1;411;1;
15 Feb.;;0;0;22;0;0;;0;0;;0;;0;22;238;;0;;0;0;31;;0;;;0;0;0;;1;0;;5;0;0;3;25;0;0;0;0;;0;0;;4;0;2;353;2;
16 Feb.;;0;0;5;0;0;;0;0;;0;;0;2;85;;0;;0;0;13;;0;;;0;0;0;;2;0;;1;0;0;5;3;1;0;0;6;;0;0;;0;0;1;124;1;
17 Feb.;;0;0;7;0;0;;0;0;;0;;0;3;32;;0;;0;0;18;;0;;;0;0;0;;0;0;;5;0;0;0;1;0;0;0;7;;0;0;;0;0;0;73;0;
18 Feb.;;0;0;9;0;0;;0;0;;0;;0;3;25;;0;;0;0;24;;0;;;0;0;0;;1;0;;3;0;0;0;0;0;0;0;3;;0;0;;3;0;0;71;0;
19 Feb.;;0;0;11;0;0;;0;0;;0;;0;13;13;;0;;0;0;36;;0;;;0;0;0;;1;0;;0;0;0;1;14;0;0;0;3;;0;0;;4;0;1;97;0;
20 Feb.;;0;0;82;0;0;;0;0;;0;;0;28;41;;0;;0;0;48;;0;;;0;0;0;;5;0;;13;0;0;1;9;1;0;0;13;;0;0;;3;0;1;245;0;
21 Feb.;;0;0;20;0;0;;0;0;;0;;0;3;80;;0;;0;0;60;;0;;;0;0;0;;1;0;;7;0;0;3;9;0;0;0;6;;0;0;;2;0;0;191;0;
22 Feb.;;0;0;195;0;0;;0;0;;0;;0;12;71;;0;;1;0;73;;0;;;0;0;0;;5;0;;14;0;0;2;10;0;0;0;14;;0;0;;2;0;1;400;1;
23 Feb.;;0;0;37;0;0;;0;0;;0;;0;5;111;;0;;0;0;43;;0;;;0;0;0;;1;0;;4;0;0;1;7;0;0;0;5;;0;0;;3;0;1;218;0;
24 Feb.;;1;0;53;0;0;;1;0;;0;;0;21;252;;0;;1;0;115;;0;;;0;0;0;;2;0;;14;0;0;0;53;0;0;0;9;;0;0;;7;0;2;531;1;
25 Feb.;;2;0;10;0;0;;0;0;;0;;0;11;123;;0;;0;0;47;;0;;;0;0;0;;2;0;;11;0;0;2;62;0;0;0;8;;0;0;;1;0;1;280;1;
26 Feb.;;1;0;5;0;0;;0;0;;0;;0;9;93;;0;;0;0;33;;0;;;0;0;0;;1;0;;7;0;0;1;59;0;0;0;6;;0;0;;1;0;3;219;1;
27 Feb.;;1;0;11;0;0;;1;0;;0;;1;11;112;;1;;0;0;18;;0;;;0;0;0;;5;0;;22;0;0;1;36;0;0;0;5;;1;0;;1;0;1;228;0;
28 Feb.;;0;0;3;0;0;;0;0;;0;;0;5;98;;0;;0;0;18;;0;;;0;0;0;;2;0;;3;0;0;1;151;2;0;0;8;;0;0;;0;0;3;294;3;
29 Feb.;;1;0;10;0;0;;0;0;;0;;0;3;64;;0;;0;2;19;;0;;;0;0;0;;8;0;;10;0;1;2;45;4;0;0;4;;0;0;;1;0;6;;0;
1 Mar.;;3;0;4;0;1;;0;0;;0;;0;1;86;;0;;0;0;9;;0;;;0;0;0;;2;0;;2;0;0;1;22;0;0;0;1;;0;0;;3;0;2;137;0;
2 Mar.;;1;0;1;0;0;;0;0;;0;;0;3;20;;0;;0;0;5;;0;;;0;0;0;;2;0;;1;0;0;0;3;2;0;0;0;;0;0;;1;0;0;39;1;
3 Mar.;;1;0;1;0;0;;1;0;;0;;0;2;8;;0;;0;2;3;;0;;;0;0;0;;2;0;;13;0;1;0;5;0;0;0;2;;0;0;;0;0;0;41;1;
4 Mar.;;1;0;2;0;1;;3;0;;0;;0;3;48;;0;;0;0;12;;0;;;0;0;0;;3;0;;1;0;0;1;80;0;0;0;5;;0;0;;2;0;3;165;0;
5 Mar.;;0;0;1;0;1;;0;0;;0;;0;1;14;;0;;0;1;12;;0;;;0;0;0;;2;0;;0;0;0;0;14;0;0;0;2;;0;0;;0;0;0;48;0;
6 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;0;;0;0;;0;0;0;1;0;
7 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;1;0;0;0;1;;0;0;;0;0;1;4;0;
8 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;11;;0;;1;0;6;;1;;;0;0;0;;1;0;;6;0;5;1;9;0;0;0;3;;0;0;;0;0;1;46;0;
9 Mar.;;0;0;1;0;1;;1;0;;0;;0;1;8;;0;;0;0;6;;0;;;0;0;0;;2;0;;1;0;1;1;8;3;0;0;3;;0;0;;1;0;1;39;0;
10 Mar.;;0;0;3;0;1;;1;0;;0;;1;1;12;;0;;0;0;30;;0;;;0;0;0;;4;0;;16;0;0;1;20;1;0;0;9;;0;0;;1;0;2;103;1;
11 Mar.;;2;0;3;0;1;;1;0;;0;;0;0;96;;0;;1;0;50;;0;;;0;0;0;;7;0;;6;0;5;2;92;1;0;0;7;;0;0;;0;0;1;275;1;
12 Mar.;;0;0;0;0;2;;0;0;;0;;0;0;41;;0;;0;0;14;;0;;;0;0;0;;1;0;;1;0;0;1;5;0;0;0;1;;0;0;;0;0;0;66;0;
13 Mar.;;1;0;1;0;1;;0;0;;0;;0;1;293;;0;;0;1;7;;0;;;0;0;0;;0;0;;15;0;1;0;7;2;0;0;0;;0;0;;1;0;1;332;0;
