Ciudad;Especie;MAE (Error Medio);R2 (Precisión %)
Bilbao;Platanus;1.75;0.45
Bilbao;Corylus;0.88;0.38
Bilbao;Cupress/Taxaceae;3.94;-0.24
Bilbao;Alnus;1.11;0.48
Bilbao;Ulmus;0.07;-0.03
Bilbao;Populus;0.21;0.03
Bilbao;Betula;0.63;-0.1
Bilbao;Quercus;2.71;0.31
Bilbao;Olea;0.36;0.32
Bilbao;Poaceae;3.17;0.54
Bilbao;Urticaceae;5.41;0.54
Bilbao;Plantago;0.81;0.23
Bilbao;Castanea;1.07;0.4
Bilbao;Alternaria;2.19;-0.1
Bilbao;Pinus;8.21;0.17
Bilbao;Fraxinus;0.49;0.59
Bilbao;Salix;0.8;-0.08
Bilbao;Ligustrum;0.15;-2.04
Bilbao;Chenopo/Amarant;0.35;-0.26
Donostia;Platanus;1.81;0.15
Donostia;Corylus;1.45;0.34
Donostia;Cupress/Taxaceae;4.16;0.19
Donostia;Alnus;1.81;0.54
Donostia;Ulmus;0.09;-1.03
Donostia;Populus;0.29;-0.83
Donostia;Betula;0.34;-1.0
Donostia;Quercus;3.01;0.2
Donostia;Olea;0.26;-0.11
Donostia;Poaceae;3.25;-0.3
Donostia;Urticaceae;2.67;0.16
Donostia;Plantago;0.69;-0.06
Donostia;Castanea;2.17;-0.68
Donostia;Alternaria;2.15;-0.76
Donostia;Pinus;3.37;-0.27
Donostia;Fraxinus;1.1;-0.5
Donostia;Salix;0.44;0.45
Donostia;Ligustrum;0.19;0.21
Donostia;Chenopo/Amarant;0.36;-0.04
Vitoria;Platanus;3.08;0.59
Vitoria;Corylus;0.59;0.41
Vitoria;Cupress/Taxaceae;7.33;0.17
Vitoria;Alnus;0.87;-0.23
Vitoria;Ulmus;0.16;0.1
Vitoria;Populus;1.16;-0.77
Vitoria;Betula;0.43;0.56
Vitoria;Quercus;7.05;0.28
Vitoria;Olea;0.84;-0.94
Vitoria;Poaceae;4.35;0.54
Vitoria;Urticaceae;4.16;0.45
Vitoria;Plantago;1.26;0.48
Vitoria;Castanea;1.2;0.29
Vitoria;Alternaria;11.04;0.38
Vitoria;Pinus;2.23;0.3
Vitoria;Fraxinus;0.83;0.48
Vitoria;Salix;0.27;0.32
Vitoria;Ligustrum;0.28;-0.79
Vitoria;Chenopo/Amarant;0.64;-0.2
